Categoria,Marca,Modelo,Especificaciones,Precio_CLP,Stock
Almacenamiento,Kingston,TARJETA DE MEMORIA MICRO-SDXC 128 GB CANVAS GO PLUS 200 MB/S A2 U3 V30 CARD,KINGSTON TARJETA DE MEMORIA MICRO-SDXC 128 GB CANVAS GO PLUS 200 MB/S A2 U3 V30 CARD,34990,Alta
Almacenamiento,Toshiba,externo Toshiba Canvio Basics HDTB440XK3CA 4TB negro,externo Toshiba Canvio Basics HDTB440XK3CA 4TB negro,154990,Alta
Almacenamiento,Lucky,Pendrive 128gb Metalico Giratorio Con Estuche Metal- Usb 2.0,Pendrive 128gb Metalico Giratorio Con Estuche Metal- Usb 2.0,6800,Alta
Almacenamiento,Wd,"Unidad SSD 500GB Sata3 2.5"""" SA510 Blue","Unidad SSD 500GB Sata3 2.5"""" SA510 Blue",99990,Alta
Almacenamiento,Western Digital,SSD INTERNO 240GB GREEN 2.5 SATA 545 MB/S WDS240G3G0A,WESTERN DIGITAL SSD INTERNO 240GB GREEN 2.5 SATA 545 MB/S WDS240G3G0A,54990,Alta
Almacenamiento,Adata,Unidad De Estado Solido Ssd Adata Su650 256gb Sata Laptop Pc 2.5 Asu650ss-256gt-r,Unidad De Estado Solido Ssd Adata Su650 256gb Sata Laptop Pc 2.5 Asu650ss-256gt-r,62900,Alta
Almacenamiento,Sandisk,Pendrive Sandisk 32gb Ultra Shift - Usb 3.0 - Flash Drive Color Negro,Pendrive Sandisk 32gb Ultra Shift - Usb 3.0 - Flash Drive Color Negro,6990,Alta
Almacenamiento,,Disco Duro Laptop 1tb Sata Toshiba 2.5 7mm 5400rpm Color Plateado,Disco Duro Laptop 1tb Sata Toshiba 2.5 7mm 5400rpm Color Plateado,39990,Alta
Almacenamiento,Kingspec,SSD M.2 NVMe KingSpec XG7000 1TB 2242 PCIe 4.0 7200MB/s Lectura 6600MB/s Escritura,SSD M.2 NVMe KingSpec XG7000 1TB 2242 PCIe 4.0 7200MB/s Lectura 6600MB/s Escritura,148990,Alta
Almacenamiento,Hoco,Pendrive Dual Usb 3.0 Tipo C Hoco Ud8 32 Gb Gris,Pendrive Dual Usb 3.0 Tipo C Hoco Ud8 32 Gb Gris,9990,Alta
Almacenamiento,Hoco,Pendrive Dual Usb 3.0 Tipo C Hoco Ud8 64 Gb Gris,Pendrive Dual Usb 3.0 Tipo C Hoco Ud8 64 Gb Gris,13990,Alta
Fuente_Poder,Corsair,Fuente de poder para PC Corsair Rm750e 750W negra,Fuente de poder para PC Corsair Rm750e 750W negra,135990,Alta
Fuente_Poder,,Fuente De Poder Mechanic Mt20d3,Fuente De Poder Mechanic Mt20d3,115322,Alta
